a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
1.06181,1.92607,0.39280,0.12164,18.06309,0.59055,-0.94017,16.13702,0.19776,0.88392,260.40328,0.03911
1.79926,1.40167,0.38323,0.44866,30.79297,0.84780,-1.35061,29.39129,0.46457,1.82414,863.84808,0.21583
0.95636,1.28713,0.27278,0.13863,15.84997,0.42091,-0.81774,14.56284,0.14813,0.66869,212.07629,0.02194
1.04954,1.18410,0.41407,0.16965,12.95162,0.81121,-0.87989,11.76752,0.39714,0.77421,138.47445,0.15772
1.41132,0.75579,0.12602,0.00000,0.00000,0.51223,-1.41132,-0.75579,0.38621,1.99182,0.57121,0.14916
1.16023,0.68306,0.29807,0.22487,9.77104,0.59006,-0.93536,9.08799,0.29199,0.87490,82.59148,0.08526
0.96757,1.28010,0.31868,0.13697,16.04124,0.56207,-0.83059,14.76114,0.24339,0.68989,217.89131,0.05924
0.79397,0.56784,0.23013,0.16376,5.17391,0.40964,-0.63021,4.60607,0.17951,0.39717,21.21589,0.03222
0.92140,1.31404,0.15637,0.25997,3.25924,0.29768,-0.66143,1.94519,0.14131,0.43750,3.78378,0.01997
1.72319,1.56029,0.39160,0.23888,9.19792,0.83994,-1.48431,7.63764,0.44834,2.20318,58.33350,0.20101
1.79466,1.43495,0.23236,0.36268,38.09293,0.62544,-1.43198,36.65798,0.39308,2.05056,1343.80772,0.15451
1.45634,1.83082,0.28889,0.38657,35.73870,0.70782,-1.06977,33.90788,0.41893,1.14440,1149.74441,0.17550
1.65645,1.24069,0.30909,0.29033,7.56803,0.82059,-1.36612,6.32734,0.51149,1.86629,40.03520,0.26162
1.26286,1.86135,0.19972,0.19820,11.08578,0.42023,-1.06465,9.22443,0.22051,1.13349,85.09005,0.04862
0.93463,0.74183,0.47188,0.00000,0.00000,0.73116,-0.93463,-0.74183,0.25929,0.87353,0.55031,0.06723
0.77986,1.83884,0.31574,0.17959,4.71787,0.42847,-0.60026,2.87903,0.11273,0.36031,8.28884,0.01271
0.84190,1.14066,0.42721,0.36912,1.09847,0.55855,-0.47278,-0.04220,0.13134,0.22352,0.00178,0.01725
0.83316,0.67980,0.23505,0.22231,-1.82383,0.40123,-0.61085,-2.50363,0.16619,0.37313,6.26817,0.02762
1.04544,1.95767,0.48498,0.19801,69.77324,0.59385,-0.84744,67.81557,0.10887,0.71815,4598.95104,0.01185
0.55533,1.41435,0.30107,0.04406,49.86326,0.38304,-0.51127,48.44891,0.08197,0.26139,2347.29680,0.00672
