a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
4000.00000,1.06181,1.92607,0.39280,0.14146,13.96863,0.60218,-0.92035,12.04256,0.20938,0.84705,145.02319,0.04384
4000.00000,0.53088,1.95486,0.43298,0.06757,15.24929,0.49621,-0.46330,13.29442,0.06323,0.21465,176.74167,0.00400
4000.00000,1.14792,0.93684,0.34474,0.29712,3.64831,0.62289,-0.85079,2.71147,0.27815,0.72385,7.35205,0.07737
4000.00000,0.79951,1.27135,0.33697,0.15401,6.85929,0.47774,-0.64550,5.58794,0.14078,0.41667,31.22507,0.01982
4000.00000,1.52635,1.16023,0.14882,0.33625,5.09500,0.59104,-1.19010,3.93477,0.44223,1.41634,15.48243,0.19557
4000.00000,0.96757,1.28010,0.31868,0.18459,7.02369,0.51986,-0.78297,5.74359,0.20118,0.61305,32.98883,0.04047
4000.00000,0.63274,0.79397,0.11809,0.19965,2.49459,0.20734,-0.43309,1.70061,0.08925,0.18757,2.89208,0.00797
4000.00000,0.92140,1.31404,0.15637,0.17471,7.05439,0.34060,-0.74669,5.74034,0.18423,0.55755,32.95152,0.03394
4000.00000,1.65691,0.61107,0.24339,0.65849,1.61818,0.76522,-0.99842,1.00711,0.52184,0.99684,1.01427,0.27231
4000.00000,0.96647,0.98777,0.39184,0.24417,3.91390,0.59237,-0.72231,2.92612,0.20053,0.52173,8.56221,0.04021
4000.00000,1.64118,1.34192,0.40839,0.30647,7.12435,0.87866,-1.33471,5.78243,0.47027,1.78144,33.43654,0.22115
4000.00000,0.54714,1.45462,0.22574,0.09086,8.93488,0.29443,-0.45628,7.48026,0.06868,0.20819,55.95431,0.00472
4000.00000,0.84320,0.61547,0.21590,0.31815,1.78800,0.36624,-0.52504,1.17253,0.15034,0.27567,1.37483,0.02260
4000.00000,1.70551,0.77986,0.45702,0.54923,2.43158,1.02473,-1.15627,1.65172,0.56771,1.33697,2.72818,0.32229
4000.00000,0.84190,1.14066,0.42721,0.18760,5.04097,0.57818,-0.65430,3.90031,0.15097,0.42811,15.21240,0.02279
4000.00000,0.67980,1.00642,0.47716,0.17015,4.05605,0.58008,-0.50965,3.04963,0.10292,0.25974,9.30024,0.01059
4000.00000,1.94367,0.87767,0.29890,0.55307,3.06291,1.00453,-1.39060,2.18524,0.70563,1.93378,4.77527,0.49792
4000.00000,0.57722,0.91797,0.46331,0.16080,3.21654,0.53874,-0.41642,2.29857,0.07543,0.17340,5.28344,0.00569
4000.00000,1.50820,1.64243,0.19506,0.23168,10.96976,0.58045,-1.27652,9.32733,0.38540,1.62951,86.99903,0.14853
4000.00000,0.63543,1.75295,0.22831,0.09250,11.87732,0.32000,-0.54294,10.12437,0.09169,0.29478,102.50281,0.00841
4000.00000,1.26814,0.83974,0.35807,0.36730,2.99470,0.69818,-0.90084,2.15495,0.34012,0.81152,4.64382,0.11568
4000.00000,1.01160,0.67021,0.46988,0.39203,1.66923,0.68253,-0.61957,0.99902,0.21265,0.38386,0.99805,0.04522
